time_bounds,pr,tas,sfcWind,psl,rldscs
2015-01,0.000127,299.58,4.27077,101091.67,398.35
2015-02,2.2e-05,298.79,4.19198,101275.45,388.6
2015-03,7.5e-05,298.9,4.83709,101618.95,384.9
2015-04,6e-06,297.99,4.19262,101611.01,371.99
2015-05,3e-06,295.69,4.0075,101549.91,358.18
2015-06,7e-06,294.85,3.70593,102021.35,346.64
2015-07,4e-06,292.14,4.41428,101946.4,332.11
2015-08,5e-06,292.59,5.06624,101816.83,350.62
2015-09,0.000132,294.19,4.88948,101726.74,353.92
2015-10,3.1e-05,295.82,5.26961,101394.38,352.32
2015-11,6.6e-05,295.47,5.18064,101310.44,365.0
2015-12,0.000112,297.67,4.55511,101301.24,397.81
2016-01,8.5e-05,298.4,4.20719,101301.79,398.12
2016-02,2.2e-05,299.41,4.08704,101428.24,391.77
2016-03,3.3e-05,298.0,4.44046,101555.38,391.27
2016-04,3e-06,297.23,3.9535,101820.41,372.52
2016-05,2.4e-05,296.92,4.30329,101975.57,363.4
2016-06,7e-06,295.57,4.15955,101863.88,348.35
2016-07,1.1e-05,295.87,4.47642,102044.52,341.63
2016-08,3e-06,295.29,4.87139,101736.37,328.93
2016-09,9e-06,294.19,5.71455,101682.06,343.69
2016-10,2.3e-05,296.64,5.31895,101635.72,358.01
2016-11,7.8e-05,296.09,4.91496,101391.16,379.1
2016-12,4.6e-05,298.08,4.68962,101428.2,389.77
2017-01,7e-06,300.67,5.06649,101219.6,393.83
2017-02,7.8e-05,300.59,3.62826,101156.41,392.76
2017-03,5.1e-05,298.97,4.64768,101274.8,395.73
2017-04,1.7e-05,298.96,4.68352,101769.4,368.12
2017-05,2.2e-05,297.71,4.31562,101748.27,364.11
2017-06,7e-06,295.04,4.45124,102058.76,343.47
2017-07,2e-05,294.86,4.80456,101983.71,339.7
2017-08,3.8e-05,294.5,5.43567,102000.57,341.07
2017-09,3.5e-05,294.34,5.35772,102030.49,339.58
2017-10,6.6e-05,293.68,5.69962,101643.38,361.0
2017-11,1e-06,296.73,4.77486,101509.44,364.81
2017-12,4.9e-05,297.27,5.15408,101180.42,397.36
2018-01,0.0001,298.89,4.47377,101273.49,390.88
2018-02,2.1e-05,299.46,4.80358,101114.14,398.05
2018-03,0.00012,298.09,4.47898,101332.4,391.07
2018-04,1.9e-05,296.3,4.14332,101805.63,376.77
2018-05,1.1e-05,295.93,4.18239,102009.08,358.6
2018-06,1.2e-05,296.28,4.12019,101982.58,363.77
2018-07,3.7e-05,295.05,4.6612,101817.51,352.07
2018-08,3e-06,294.12,4.99325,101765.89,338.14
2018-09,1e-05,295.57,5.21076,101901.55,342.38
2018-10,0.000101,295.54,5.14706,101843.32,360.5
2018-11,5.2e-05,296.78,5.59418,101216.42,376.78
2018-12,1e-05,298.37,4.91816,101233.76,392.81
2019-01,1.2e-05,299.84,5.60266,101118.83,390.48
2019-02,3.1e-05,300.34,4.53439,101122.13,405.48
2019-03,5.1e-05,298.43,3.95582,101209.67,403.84
2019-04,1.5e-05,297.95,4.82751,101787.05,383.83
2019-05,9e-06,296.28,4.74564,101890.52,366.3
2019-06,6e-06,293.98,4.98711,101908.88,351.51
2019-07,4e-06,293.51,4.54727,102065.26,344.9
2019-08,3e-06,293.77,5.67994,101617.92,334.12
2019-09,2.5e-05,295.03,5.45075,101602.47,346.88
2019-10,9e-06,296.34,5.14642,101470.95,375.21
2019-11,2.7e-05,298.62,5.08853,101456.69,380.42
2019-12,3.3e-05,298.24,4.82703,101419.93,372.4
2020-01,1.4e-05,300.73,4.66695,101347.0,387.24
2020-02,6.6e-05,300.07,3.78972,101308.83,398.07
2020-03,1.8e-05,297.62,5.08387,101613.07,383.2
2020-04,2.6e-05,296.86,4.33591,101550.29,381.22
2020-05,4e-06,296.58,4.42509,102068.84,357.83
2020-06,1e-06,294.61,4.81449,101979.98,351.5
2020-07,8e-06,293.71,4.58594,102298.65,333.51
2020-08,2e-05,293.31,5.29807,101858.04,346.89
2020-09,8.3e-05,297.83,5.33235,101693.75,348.62
2020-10,1.8e-05,297.53,5.83544,101387.38,351.54
2020-11,4.9e-05,298.03,5.29597,101471.5,387.03
2020-12,1.4e-05,298.8,5.03734,101203.02,375.23
2021-01,2.6e-05,297.79,5.17483,101167.42,395.1
2021-02,8.9e-05,300.08,4.87239,101142.84,406.17
2021-03,7e-06,299.37,4.10726,101402.68,391.75
2021-04,9.1e-05,298.82,4.17832,101731.76,384.34
2021-05,1e-06,297.45,4.3207,101939.02,365.77
2021-06,5e-06,296.63,4.35918,102058.03,359.23
2021-07,0.0,294.85,4.64232,101838.7,347.63
2021-08,2.1e-05,294.47,5.21574,101615.16,348.0
2021-09,1.4e-05,295.83,5.77426,101578.39,344.4
2021-10,1.7e-05,295.26,5.42303,101497.44,361.29
2021-11,8.9e-05,297.81,4.57705,101499.23,380.78
2021-12,5.5e-05,297.44,4.62774,101355.46,393.08
2022-01,9e-06,300.49,3.76388,101305.68,397.38
2022-02,0.0,300.35,4.39601,101219.72,396.09
2022-03,3.6e-05,298.75,4.41882,101536.46,384.82
2022-04,1.3e-05,298.42,4.57716,101659.54,379.67
2022-05,9e-06,298.25,4.19306,101736.75,368.24
2022-06,5e-06,296.08,4.76692,101912.03,349.25
2022-07,1e-06,295.44,5.11226,101910.56,350.73
2022-08,2e-05,294.17,4.94845,102059.41,344.34
2022-09,5e-06,296.19,4.72901,101501.14,343.33
2022-10,2e-05,297.9,5.00791,101484.79,369.28
2022-11,4.7e-05,298.56,5.76956,101256.31,376.36
2022-12,0.000137,299.97,4.82288,101178.56,374.13
2023-01,5.6e-05,298.3,5.19483,101051.02,398.82
2023-02,3.1e-05,299.71,5.08094,101108.81,398.26
2023-03,5e-05,299.7,4.09095,101408.23,395.48
2023-04,2e-05,298.31,4.7057,101490.41,375.54
2023-05,8e-06,297.04,4.21467,101770.3,356.46
2023-06,4e-06,296.92,4.02951,101645.38,339.43
2023-07,3e-06,294.7,4.36323,101869.71,338.98
2023-08,1.1e-05,294.21,5.00729,101850.84,332.46
2023-09,2.7e-05,295.55,5.4265,101733.31,338.93
2023-10,5.6e-05,295.91,5.60056,101698.68,353.58
2023-11,3.6e-05,298.64,5.2192,101720.29,371.1
2023-12,3.4e-05,297.75,5.61517,101405.55,373.33
2024-01,4.9e-05,299.2,5.07271,101414.77,392.25
2024-02,1.7e-05,298.61,5.20246,101277.38,402.33
2024-03,7.1e-05,298.1,4.76343,101474.45,393.7
2024-04,2.9e-05,297.11,4.61362,101734.09,381.03
2024-05,2e-06,296.92,4.68062,102038.83,369.92
2024-06,6e-06,295.27,4.69345,101875.58,352.65
2024-07,2e-06,293.82,4.90804,102042.58,331.27
2024-08,1e-06,294.29,5.1232,101636.83,341.38
2024-09,9e-06,293.78,5.9045,101661.86,363.5
2024-10,3.5e-05,295.01,5.81393,101558.6,364.62
2024-11,5.9e-05,296.94,5.10922,101720.18,378.65
2024-12,0.000124,300.14,4.80475,101175.49,392.23
2025-01,3.2e-05,300.64,4.80114,101155.32,400.2
2025-02,5e-05,300.62,4.62793,101088.96,402.64
2025-03,6e-06,300.23,4.41946,101267.52,392.78
2025-04,6e-06,298.1,4.95613,101590.3,382.47
2025-05,3e-06,298.04,4.62931,102144.68,368.33
2025-06,7e-06,295.18,4.71779,101996.45,353.69
2025-07,4.1e-05,293.41,5.12855,101946.03,347.48
2025-08,2e-06,294.56,4.72942,102076.31,349.53
2025-09,1.3e-05,296.55,6.0295,101503.65,349.58
2025-10,7.5e-05,295.92,5.39967,101428.29,373.52
2025-11,3.9e-05,296.29,5.52257,101672.99,376.81
2025-12,4.2e-05,299.16,4.91987,101018.14,380.89
2026-01,5.8e-05,299.12,4.72178,101119.66,394.89
2026-02,3.2e-05,298.47,4.98641,101232.41,393.4
2026-03,6.2e-05,298.25,4.97603,101319.84,401.5
2026-04,5.6e-05,298.31,4.64236,101804.71,389.02
