time_bounds,pr,tas,sfcWind,psl,rldscs
2015,0.000049,296.14,4.54844,101555.36,366.7
2016,0.000029,296.81,4.59474,101655.28,367.21
2017,0.000033,296.94,4.83495,101631.27,366.8
2018,0.000041,296.7,4.72724,101607.98,370.15
2019,0.000019,296.86,4.94942,101555.86,371.28
2020,0.000027,297.14,4.87509,101648.36,366.82
2021,0.000035,297.15,4.77274,101568.84,373.13
2022,0.000025,297.88,4.70883,101563.41,369.47
2023,0.000028,297.23,4.87905,101562.71,364.36
2024,0.000034,296.6,5.05749,101634.22,371.96
2025,0.000026,297.39,4.99011,101574.05,373.16
2026,0.000035,297.15,4.99203,101530.43,375.36
2027,0.000054,297.17,5.14639,101596.19,378.06
2028,0.000021,296.95,5.13137,101582.04,373.67
2029,0.000043,296.95,5.14229,101648.88,368.17
2030,0.000027,297.67,5.58025,101528.81,373.65
2031,0.000039,297.7,5.27582,101613.84,374.12
2032,0.000021,297.07,5.19271,101605.77,371.69
2033,0.000041,296.99,5.30667,101577.03,373.57
2034,0.000040,297.44,5.29366,101612.32,378.15
2035,0.000030,298.04,5.40704,101481.02,377.01
2036,0.000022,297.8,5.29954,101673.61,374.46
2037,0.000034,297.76,5.49664,101598.14,371.63
2038,0.000034,297.28,5.24463,101620.51,376.51
2039,0.000021,297.79,5.36051,101724.09,378.51
2040,0.000046,297.76,5.29794,101582.88,380.7
2041,0.000034,297.58,5.92218,101651.44,382.16
2042,0.000042,297.15,5.54013,101674.29,381.34
2043,0.000022,298.6,5.45986,101568.72,378.68
2044,0.000022,298.47,5.05303,101604.24,375.83
2045,0.000046,297.73,5.3412,101657.11,381.25
2046,0.000033,297.85,5.46621,101524.25,380.22
2047,0.000019,297.75,5.35042,101579.05,378.89
2048,0.000036,297.91,5.46966,101678.15,380.42
2049,0.000023,297.72,5.41965,101633.88,379.48
2050,0.000011,298.13,5.37519,101656.35,379.72
2051,0.000027,298.85,5.61021,101599.72,380.8
2052,0.000032,298.85,5.50185,101567.79,383.73
2053,0.000027,298.71,5.35137,101656.23,385.51
2054,0.000033,298.57,5.60802,101654.61,388.11
2055,0.000017,298.77,5.29955,101605.53,382.94
2056,0.000021,298.34,5.31496,101506.84,385.6
2057,0.000020,299.16,5.42953,101628.61,379.69
2058,0.000014,298.64,5.45595,101585.53,386.47
2059,0.000044,298.28,5.69807,101659.71,388.0
2060,0.000036,298.9,5.64028,101695.57,384.36
2061,0.000034,298.9,5.45728,101622.81,388.27
2062,0.000029,299.11,5.25291,101606.79,384.24
2063,0.000022,298.61,5.30228,101613.26,388.9
2064,0.000053,299.15,5.1801,101605.54,389.69
2065,0.000026,299.07,5.47807,101639.3,391.41
2066,0.000036,298.84,5.2168,101716.36,383.75
2067,0.000028,298.81,5.42469,101561.29,394.28
2068,0.000025,299.32,5.51751,101633.24,394.56
2069,0.000041,299.69,5.59215,101571.45,394.09
2070,0.000030,299.55,5.31575,101659.79,394.26
2071,0.000036,300.4,5.34573,101600.49,391.9
2072,0.000015,299.56,5.40202,101556.78,389.95
2073,0.000024,299.46,5.23282,101505.36,395.09
2074,0.000023,300.07,5.77498,101504.74,397.52
2075,0.000040,299.92,5.4208,101637.93,387.67
2076,0.000016,299.53,5.38364,101633.7,393.81
2077,0.000027,299.78,5.56044,101563.03,396.56
2078,0.000027,300.18,5.26651,101676.41,398.59
2079,0.000025,300.88,5.15731,101571.69,399.63
2080,0.000035,299.24,5.53592,101662.07,396.63
2081,0.000037,299.68,5.50145,101610.48,401.27
2082,0.000033,300.01,5.40032,101557.67,399.5
2083,0.000030,299.87,5.25907,101544.63,408.8
2084,0.000030,301.34,5.64122,101708.09,406.16
2085,0.000022,300.48,5.48874,101617.37,400.08
2086,0.000026,300.8,5.6996,101619.49,394.92
2087,0.000057,301.7,5.28667,101700.04,402.54
2088,0.000016,300.95,5.28111,101572.55,407.52
2089,0.000036,301.46,5.23821,101619.07,406.89
2090,0.000019,301.41,5.43673,101578.99,405.39
2091,0.000031,301.34,5.38027,101574.2,411.26
2092,0.000037,301.09,5.05689,101638.23,403.8
2093,0.000024,300.77,5.47437,101503.62,407.1
2094,0.000013,301.31,5.45339,101649.41,409.07
2095,0.000021,300.96,5.35202,101568.51,412.11
2096,0.000036,301.17,5.23931,101531.82,406.34
2097,0.000024,300.94,5.79669,101575.61,406.99
2098,0.000024,301.07,5.05707,101614.67,411.6
2099,0.000020,301.61,5.35595,101544.84,405.92
2100,0.000022,301.82,5.70565,101587.07,417.54
