date,iteration,cfg_scale,img_str,model,pr,tas,sfcWind,psl,rldscs
2016-01,001,7,0.7,stable-diffusion-v1-5,8.5e-05,298.4,4.20719,101301.79,398.12
2016-01,018,7,0.7,stable-diffusion-v1-5,8.5e-05,298.4,4.20719,101301.79,398.12
2016-02,002,7,0.7,stable-diffusion-v1-5,2.2e-05,299.41,4.08704,101428.24,391.77
2016-02,019,7,0.7,stable-diffusion-v1-5,2.2e-05,299.41,4.08704,101428.24,391.77
2016-03,003,7,0.7,stable-diffusion-v1-5,3.3e-05,298.0,4.44046,101555.38,391.27
2016-03,020,7,0.7,stable-diffusion-v1-5,3.3e-05,298.0,4.44046,101555.38,391.27
2016-04,004,7,0.7,stable-diffusion-v1-5,3e-06,297.23,3.9535,101820.41,372.52
2016-04,021,7,0.7,stable-diffusion-v1-5,3e-06,297.23,3.9535,101820.41,372.52
2016-05,005,7,0.7,stable-diffusion-v1-5,2.4e-05,296.92,4.30329,101975.57,363.4
2016-05,022,7,0.7,stable-diffusion-v1-5,2.4e-05,296.92,4.30329,101975.57,363.4
2016-06,006,7,0.7,stable-diffusion-v1-5,7e-06,295.57,4.15955,101863.88,348.35
2016-06,023,7,0.7,stable-diffusion-v1-5,7e-06,295.57,4.15955,101863.88,348.35
2016-07,007,7,0.7,stable-diffusion-v1-5,1.1e-05,295.87,4.47642,102044.52,341.63
2016-07,024,7,0.7,stable-diffusion-v1-5,1.1e-05,295.87,4.47642,102044.52,341.63
2016-08,008,7,0.7,stable-diffusion-v1-5,3e-06,295.29,4.87139,101736.37,328.93
2016-08,025,7,0.7,stable-diffusion-v1-5,3e-06,295.29,4.87139,101736.37,328.93
2016-09,009,7,0.7,stable-diffusion-v1-5,9e-06,294.19,5.71455,101682.06,343.69
2016-09,026,7,0.7,stable-diffusion-v1-5,9e-06,294.19,5.71455,101682.06,343.69
2016-10,010,7,0.7,stable-diffusion-v1-5,2.3e-05,296.64,5.31895,101635.72,358.01
2016-10,027,7,0.7,stable-diffusion-v1-5,2.3e-05,296.64,5.31895,101635.72,358.01
2016-11,011,7,0.7,stable-diffusion-v1-5,7.8e-05,296.09,4.91496,101391.16,379.1
2016-11,028,7,0.7,stable-diffusion-v1-5,7.8e-05,296.09,4.91496,101391.16,379.1
2016-12,012,7,0.7,stable-diffusion-v1-5,4.6e-05,298.08,4.68962,101428.2,389.77
2016-12,029,7,0.7,stable-diffusion-v1-5,4.6e-05,298.08,4.68962,101428.2,389.77
2017-01,013,7,0.7,stable-diffusion-v1-5,7e-06,300.67,5.06649,101219.6,393.83
2017-01,030,7,0.7,stable-diffusion-v1-5,7e-06,300.67,5.06649,101219.6,393.83
2017-02,014,7,0.7,stable-diffusion-v1-5,7.8e-05,300.59,3.62826,101156.41,392.76
2017-02,031,7,0.7,stable-diffusion-v1-5,7.8e-05,300.59,3.62826,101156.41,392.76
2017-03,015,7,0.7,stable-diffusion-v1-5,5.1e-05,298.97,4.64768,101274.8,395.73
2017-03,032,7,0.7,stable-diffusion-v1-5,5.1e-05,298.97,4.64768,101274.8,395.73
2017-04,016,7,0.7,stable-diffusion-v1-5,1.7e-05,298.96,4.68352,101769.4,368.12
2017-04,033,7,0.7,stable-diffusion-v1-5,1.7e-05,298.96,4.68352,101769.4,368.12
2017-05,034,7,0.7,stable-diffusion-v1-5,2.2e-05,297.71,4.31562,101748.27,364.11
2017-06,035,7,0.7,stable-diffusion-v1-5,7e-06,295.04,4.45124,102058.76,343.47
2017-07,036,7,0.7,stable-diffusion-v1-5,2e-05,294.86,4.80456,101983.71,339.7
2017-08,037,7,0.7,stable-diffusion-v1-5,3.8e-05,294.5,5.43567,102000.57,341.07
2017-09,038,7,0.7,stable-diffusion-v1-5,3.5e-05,294.34,5.35772,102030.49,339.58
2017-10,039,7,0.7,stable-diffusion-v1-5,6.6e-05,293.68,5.69962,101643.38,361.0
2017-11,040,7,0.7,stable-diffusion-v1-5,1e-06,296.73,4.77486,101509.44,364.81
2017-12,041,7,0.7,stable-diffusion-v1-5,4.9e-05,297.27,5.15408,101180.42,397.36
2018-01,042,7,0.7,stable-diffusion-v1-5,0.0001,298.89,4.47377,101273.49,390.88
2018-02,043,7,0.7,stable-diffusion-v1-5,2.1e-05,299.46,4.80358,101114.14,398.05
2018-03,044,7,0.7,stable-diffusion-v1-5,0.00012,298.09,4.47898,101332.4,391.07
2018-04,045,7,0.7,stable-diffusion-v1-5,1.9e-05,296.3,4.14332,101805.63,376.77
2018-05,046,7,0.7,stable-diffusion-v1-5,1.1e-05,295.93,4.18239,102009.08,358.6
2018-06,047,7,0.7,stable-diffusion-v1-5,1.2e-05,296.28,4.12019,101982.58,363.77
2018-07,048,7,0.7,stable-diffusion-v1-5,3.7e-05,295.05,4.6612,101817.51,352.07
2018-08,049,7,0.7,stable-diffusion-v1-5,3e-06,294.12,4.99325,101765.89,338.14
2018-09,050,7,0.7,stable-diffusion-v1-5,1e-05,295.57,5.21076,101901.55,342.38
2018-10,051,7,0.7,stable-diffusion-v1-5,0.000101,295.54,5.14706,101843.32,360.5
2018-11,052,7,0.7,stable-diffusion-v1-5,5.2e-05,296.78,5.59418,101216.42,376.78
2018-12,053,7,0.7,stable-diffusion-v1-5,1e-05,298.37,4.91816,101233.76,392.81
